waypoint1	waypoint2	distance_m	duration_s
San Andreas Fault, San Benito County, CA	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	3436429	114347
Pikes Peak, Colorado	Gateway Arch, Washington Avenue, St Louis, MO	1392846	47310
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Gateway Arch, Washington Avenue, St Louis, MO	1730937	58201
Cape Canaveral, FL	Statue of Liberty, Liberty Island, NYC, NY	1749063	56702
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	USS Constitution, Boston, MA	167348	6302
New Castle Historic District, Delaware	Grand Canyon National Park, Arizona	3766013	124400
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	322833	11568
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	White House, Pennsylvania Avenue Northwest, Washington, DC	2192061	72697
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Taliesin, County Road C, Spring Green, Wisconsin	775904	26821
Graceland, Elvis Presley Boulevard, Memphis, TN	Gateway Arch, Washington Avenue, St Louis, MO	468214	15497
Taliesin, County Road C, Spring Green, Wisconsin	Statue of Liberty, Liberty Island, NYC, NY	1574576	54093
Carlsbad Caverns National Park, Carlsbad, NM	Congress Hall, Congress Place, Cape May, NJ 08204	3208073	108206
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Fort Snelling, Tower Avenue, Saint Paul, MN	1294771	43527
Terrace Hill, Grand Avenue, Des Moines, IA	Grand Canyon National Park, Arizona	2164575	72544
Taliesin, County Road C, Spring Green, Wisconsin	Fort Snelling, Tower Avenue, Saint Paul, MN	421798	14650
Craters of the Moon National Monument & Preserve, Arco, ID	Statue of Liberty, Liberty Island, NYC, NY	3829860	130774
Mount Vernon, Fairfax County, Virginia	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4552031	149480
Taliesin, County Road C, Spring Green, Wisconsin	Acadia National Park, Maine	2315246	79757
Shelburne Farms, Harbor Road, Shelburne, VT	Lost World Caverns, Lewisburg, WV	1199247	42484
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Bryce Canyon National Park, Hwy 63, Bryce, UT	2490610	84662
Maryland State House, 100 State Cir, Annapolis, MD 21401	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1117442	37691
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Graceland, Elvis Presley Boulevard, Memphis, TN	2400545	79013
Shelburne Farms, Harbor Road, Shelburne, VT	Hanford Site, Benton County, WA	4554014	154798
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Wright Brothers National Memorial Visitor Center, Manteo, NC	1115588	39750
Graceland, Elvis Presley Boulevard, Memphis, TN	Ashfall Fossil Bed, Royal, NE	1311223	46980
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Fort Snelling, Tower Avenue, Saint Paul, MN	1672038	56729
Liberty Bell, 6th Street, Philadelphia, PA	Wright Brothers National Memorial Visitor Center, Manteo, NC	560701	22882
Liberty Bell, 6th Street, Philadelphia, PA	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1171101	40919
Pikes Peak, Colorado	Bryce Canyon National Park, Hwy 63, Bryce, UT	952070	37432
Terrace Hill, Grand Avenue, Des Moines, IA	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1011848	35748
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Taliesin, County Road C, Spring Green, Wisconsin	1298050	48013
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Glacier National Park, West Glacier, MT	3453314	115151
Terrace Hill, Grand Avenue, Des Moines, IA	Acadia National Park, Maine	2530722	85404
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Cape Canaveral, FL	2322415	76836
USS Alabama, Battleship Parkway, Mobile, AL	Ashfall Fossil Bed, Royal, NE	1893963	68586
Graceland, Elvis Presley Boulevard, Memphis, TN	Congress Hall, Congress Place, Cape May, NJ 08204	1717436	58569
The Alamo, Alamo Plaza, San Antonio, TX	Bryce Canyon National Park, Hwy 63, Bryce, UT	2020620	69756
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Acadia National Park, Maine	598499	21290
Hoover Dam, NV	Terrace Hill, Grand Avenue, Des Moines, IA	2326726	75445
San Andreas Fault, San Benito County, CA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	3217248	106694
Toltec Mounds, Scott, AR	White House, Pennsylvania Avenue Northwest, Washington, DC	1619484	53770
USS Alabama, Battleship Parkway, Mobile, AL	Glacier National Park, West Glacier, MT	3821170	128776
Shelburne Farms, Harbor Road, Shelburne, VT	Fort Sumter National Monument, Sullivan's Island, SC	1670346	57632
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Fort Sumter National Monument, Sullivan's Island, SC	923454	33361
Liberty Bell, 6th Street, Philadelphia, PA	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	342337	12898
Carlsbad Caverns National Park, Carlsbad, NM	Statue of Liberty, Liberty Island, NYC, NY	3253337	108013
Graceland, Elvis Presley Boulevard, Memphis, TN	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3375167	110337
Glacier National Park, West Glacier, MT	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	1842520	67954
Cape Canaveral, FL	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	385288	13311
The Alamo, Alamo Plaza, San Antonio, TX	Gateway Arch, Washington Avenue, St Louis, MO	1453813	50267
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Mount Vernon, Fairfax County, Virginia	1774388	60682
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Pikes Peak, Colorado	1133438	40611
White House, Pennsylvania Avenue Northwest, Washington, DC	French Quarter, New Orleans, LA	1743665	57318
The Breakers, Ochre Point Avenue, Newport, RI	Yellowstone National Park, WY 82190	3846150	132037
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	The Breakers, Ochre Point Avenue, Newport, RI	1317259	46836
Carlsbad Caverns National Park, Carlsbad, NM	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1833667	61531
Maryland State House, 100 State Cir, Annapolis, MD 21401	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	848496	29679
Yellowstone National Park, WY 82190	The Alamo, Alamo Plaza, San Antonio, TX	2445147	84162
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	San Andreas Fault, San Benito County, CA	2332552	80316
New Castle Historic District, Delaware	Gateway Arch, Washington Avenue, St Louis, MO	1434501	49206
French Quarter, New Orleans, LA	Grand Canyon National Park, Arizona	2510868	82372
Statue of Liberty, Liberty Island, NYC, NY	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1476972	50456
Hoover Dam, NV	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	3536635	115866
Maryland State House, 100 State Cir, Annapolis, MD 21401	Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	2254992	74921
Hanford Site, Benton County, WA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	3072795	101773
Fort Sumter National Monument, Sullivan's Island, SC	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4468426	146767
Terrace Hill, Grand Avenue, Des Moines, IA	Gateway Arch, Washington Avenue, St Louis, MO	565927	20025
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Lost World Caverns, Lewisburg, WV	1864677	62204
Pikes Peak, Colorado	The Alamo, Alamo Plaza, San Antonio, TX	1437370	49897
Graceland, Elvis Presley Boulevard, Memphis, TN	Vicksburg National Military Park, Clay Street, Vicksburg, MS	394355	13124
Liberty Bell, 6th Street, Philadelphia, PA	Hanford Site, Benton County, WA	4338990	143630
USS Alabama, Battleship Parkway, Mobile, AL	Fort Sumter National Monument, Sullivan's Island, SC	1006093	33274
Liberty Bell, 6th Street, Philadelphia, PA	Columbia River Gorge National Scenic Area, Oregon	4455249	145729
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	697145	23115
The Alamo, Alamo Plaza, San Antonio, TX	Columbia River Gorge National Scenic Area, Oregon	3181052	108215
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	827677	28137
Wright Brothers National Memorial Visitor Center, Manteo, NC	Columbia River Gorge National Scenic Area, Oregon	4725067	156489
Columbia River Gorge National Scenic Area, Oregon	Grand Canyon National Park, Arizona	1912640	64510
Terrace Hill, Grand Avenue, Des Moines, IA	Ashfall Fossil Bed, Royal, NE	464284	16655
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Shelburne Farms, Harbor Road, Shelburne, VT	2640331	92211
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4384278	145015
Craters of the Moon National Monument & Preserve, Arco, ID	Acadia National Park, Maine	4568792	156251
White House, Pennsylvania Avenue Northwest, Washington, DC	Fort Snelling, Tower Avenue, Saint Paul, MN	1778924	60060
Gateway Arch, Washington Avenue, St Louis, MO	Acadia National Park, Maine	2329727	79242
Toltec Mounds, Scott, AR	Gateway Arch, Washington Avenue, St Louis, MO	569332	20046
Wright Brothers National Memorial Visitor Center, Manteo, NC	Yellowstone National Park, WY 82190	3779073	129454
San Andreas Fault, San Benito County, CA	The Breakers, Ochre Point Avenue, Newport, RI	4895117	163352
Gateway Arch, Washington Avenue, St Louis, MO	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	154979	5616
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Yellowstone National Park, WY 82190	2628054	91802
Shelburne Farms, Harbor Road, Shelburne, VT	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	191088	8665
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Fort Snelling, Tower Avenue, Saint Paul, MN	965869	36564
Liberty Bell, 6th Street, Philadelphia, PA	Fort Sumter National Monument, Sullivan's Island, SC	1076236	36055
Liberty Bell, 6th Street, Philadelphia, PA	Gateway Arch, Washington Avenue, St Louis, MO	1423737	48098
Yellowstone National Park, WY 82190	Acadia National Park, Maine	4304973	147158
New Castle Historic District, Delaware	Columbia River Gorge National Scenic Area, Oregon	4478552	147617
Congress Hall, Congress Place, Cape May, NJ 08204	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1312824	45923
Carlsbad Caverns National Park, Carlsbad, NM	Lost World Caverns, Lewisburg, WV	2605127	86725
Terrace Hill, Grand Avenue, Des Moines, IA	Carlsbad Caverns National Park, Carlsbad, NM	1750953	58004
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Cape Canaveral, FL	3664658	117864
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	French Quarter, New Orleans, LA	2522028	84830
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Ashfall Fossil Bed, Royal, NE	1609121	56112
The Breakers, Ochre Point Avenue, Newport, RI	White House, Pennsylvania Avenue Northwest, Washington, DC	658563	24465
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1903457	62161
Hoover Dam, NV	Craters of the Moon National Monument & Preserve, Arco, ID	1005442	40204
Toltec Mounds, Scott, AR	Grand Canyon National Park, Arizona	2095714	67827
Yellowstone National Park, WY 82190	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	3502615	119510
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Toltec Mounds, Scott, AR	755705	25616
USS Alabama, Battleship Parkway, Mobile, AL	Vicksburg National Military Park, Clay Street, Vicksburg, MS	373425	14174
Liberty Bell, 6th Street, Philadelphia, PA	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1249911	42130
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2179426	76439
Hoover Dam, NV	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2111485	69855
USS Alabama, Battleship Parkway, Mobile, AL	Wright Brothers National Memorial Visitor Center, Manteo, NC	1500775	49164
USS Alabama, Battleship Parkway, Mobile, AL	Grand Canyon National Park, Arizona	2648895	88842
Hoover Dam, NV	Wright Brothers National Memorial Visitor Center, Manteo, NC	4021715	131903
Graceland, Elvis Presley Boulevard, Memphis, TN	Fort Snelling, Tower Avenue, Saint Paul, MN	1293808	44610
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1021979	34880
French Quarter, New Orleans, LA	Bryce Canyon National Park, Hwy 63, Bryce, UT	2722862	92272
Craters of the Moon National Monument & Preserve, Arco, ID	Columbia River Gorge National Scenic Area, Oregon	814893	32066
Carlsbad Caverns National Park, Carlsbad, NM	Taliesin, County Road C, Spring Green, Wisconsin	2180018	72363
Olympia Entertainment, Woodward Avenue, Detroit, MI	Ashfall Fossil Bed, Royal, NE	1427786	48222
The Alamo, Alamo Plaza, San Antonio, TX	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2790824	89467
Maryland State House, 100 State Cir, Annapolis, MD 21401	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1101884	37613
White House, Pennsylvania Avenue Northwest, Washington, DC	Grand Canyon National Park, Arizona	3686967	120153
Yellowstone National Park, WY 82190	Gateway Arch, Washington Avenue, St Louis, MO	2184832	76134
Craters of the Moon National Monument & Preserve, Arco, ID	Ashfall Fossil Bed, Royal, NE	1540109	61679
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	New Castle Historic District, Delaware	2956977	98338
Graceland, Elvis Presley Boulevard, Memphis, TN	Olympia Entertainment, Woodward Avenue, Detroit, MI	1215733	40449
Maryland State House, 100 State Cir, Annapolis, MD 21401	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	912697	32041
Liberty Bell, 6th Street, Philadelphia, PA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1376852	46632
Taliesin, County Road C, Spring Green, Wisconsin	USS Constitution, Boston, MA	1882653	64477
Cape Canaveral, FL	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1250252	41628
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Terrace Hill, Grand Avenue, Des Moines, IA	1012394	36814
Toltec Mounds, Scott, AR	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2169593	72641
Bryce Canyon National Park, Hwy 63, Bryce, UT	Columbia River Gorge National Scenic Area, Oregon	1505184	49237
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1093084	37462
Hoover Dam, NV	Yellowstone National Park, WY 82190	1566318	56250
White House, Pennsylvania Avenue Northwest, Washington, DC	Yellowstone National Park, WY 82190	3412940	116655
Lost World Caverns, Lewisburg, WV	Acadia National Park, Maine	1561110	54059
Liberty Bell, 6th Street, Philadelphia, PA	USS Constitution, Boston, MA	500807	18305
Terrace Hill, Grand Avenue, Des Moines, IA	USS Constitution, Boston, MA	2099571	70416
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	White House, Pennsylvania Avenue Northwest, Washington, DC	2837358	94411
Graceland, Elvis Presley Boulevard, Memphis, TN	Taliesin, County Road C, Spring Green, Wisconsin	1109663	36787
Statue of Liberty, Liberty Island, NYC, NY	Acadia National Park, Maine	781499	28305
Olympia Entertainment, Woodward Avenue, Detroit, MI	Bryce Canyon National Park, Hwy 63, Bryce, UT	2901915	96360
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Pikes Peak, Colorado	992905	34607
Cape Canaveral, FL	Fort Sumter National Monument, Sullivan's Island, SC	642149	21844
Lost World Caverns, Lewisburg, WV	Yellowstone National Park, WY 82190	3175969	108699
Hanford Site, Benton County, WA	San Andreas Fault, San Benito County, CA	1579358	58752
French Quarter, New Orleans, LA	Columbia River Gorge National Scenic Area, Oregon	3928811	130319
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	2859957	97536
Carlsbad Caverns National Park, Carlsbad, NM	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	3687166	125425
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Congress Hall, Congress Place, Cape May, NJ 08204	821437	28953
Graceland, Elvis Presley Boulevard, Memphis, TN	Statue of Liberty, Liberty Island, NYC, NY	1762155	58609
Mount Vernon, Fairfax County, Virginia	Yellowstone National Park, WY 82190	3434840	117422
Statue of Liberty, Liberty Island, NYC, NY	French Quarter, New Orleans, LA	2091896	68879
Carlsbad Caverns National Park, Carlsbad, NM	Bryce Canyon National Park, Hwy 63, Bryce, UT	1354758	47872
Hoover Dam, NV	Bryce Canyon National Park, Hwy 63, Bryce, UT	470241	16220
Carlsbad Caverns National Park, Carlsbad, NM	Acadia National Park, Maine	4008415	135156
USS Alabama, Battleship Parkway, Mobile, AL	Yellowstone National Park, WY 82190	3207466	109570
Lost World Caverns, Lewisburg, WV	Columbia River Gorge National Scenic Area, Oregon	4122317	135106
Carlsbad Caverns National Park, Carlsbad, NM	Cape Canaveral, FL	2599176	86194
Liberty Bell, 6th Street, Philadelphia, PA	Congress Hall, Congress Place, Cape May, NJ 08204	150410	5569
Toltec Mounds, Scott, AR	Acadia National Park, Maine	2749813	93162
Fort Sumter National Monument, Sullivan's Island, SC	Gateway Arch, Washington Avenue, St Louis, MO	1375456	45306
Fort Sumter National Monument, Sullivan's Island, SC	Grand Canyon National Park, Arizona	3382194	110560
Hoover Dam, NV	Columbia River Gorge National Scenic Area, Oregon	1588029	54339
New Castle Historic District, Delaware	Fort Sumter National Monument, Sullivan's Island, SC	1031599	34713
Lost World Caverns, Lewisburg, WV	Gateway Arch, Washington Avenue, St Louis, MO	991906	32962
Craters of the Moon National Monument & Preserve, Arco, ID	Grand Canyon National Park, Arizona	1328735	49439
Wright Brothers National Memorial Visitor Center, Manteo, NC	Craters of the Moon National Monument & Preserve, Arco, ID	4048095	138921
Pikes Peak, Colorado	Fort Snelling, Tower Avenue, Saint Paul, MN	1625284	53574
Terrace Hill, Grand Avenue, Des Moines, IA	Craters of the Moon National Monument & Preserve, Arco, ID	2040447	71391
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Yellowstone National Park, WY 82190	2839610	95945
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	USS Constitution, Boston, MA	2764134	93226
Lost World Caverns, Lewisburg, WV	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	1349755	46379
Taliesin, County Road C, Spring Green, Wisconsin	Gateway Arch, Washington Avenue, St Louis, MO	639084	21626
Shelburne Farms, Harbor Road, Shelburne, VT	Fort Snelling, Tower Avenue, Saint Paul, MN	2091323	74081
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1918266	66600
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Lost World Caverns, Lewisburg, WV	1441772	48151
Carlsbad Caverns National Park, Carlsbad, NM	Olympia Entertainment, Woodward Avenue, Detroit, MI	2561053	85131
Wright Brothers National Memorial Visitor Center, Manteo, NC	Olympia Entertainment, Woodward Avenue, Detroit, MI	1285400	44479
Maryland State House, 100 State Cir, Annapolis, MD 21401	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1700625	56018
Mount Vernon, Fairfax County, Virginia	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	572755	21253
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Gateway Arch, Washington Avenue, St Louis, MO	861887	28261
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4838211	158867
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	San Andreas Fault, San Benito County, CA	2606286	88251
Hoover Dam, NV	French Quarter, New Orleans, LA	2724964	89253
Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	Grand Canyon National Park, Arizona	2486813	81028
Hanford Site, Benton County, WA	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	4790996	161297
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	524235	18220
Mount Vernon, Fairfax County, Virginia	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	952462	34260
Maryland State House, 100 State Cir, Annapolis, MD 21401	Lost World Caverns, Lewisburg, WV	480868	16833
Wright Brothers National Memorial Visitor Center, Manteo, NC	Ashfall Fossil Bed, Royal, NE	2518312	86001
Lost World Caverns, Lewisburg, WV	Cape Canaveral, FL	1282267	41883
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Wright Brothers National Memorial Visitor Center, Manteo, NC	3262946	109302
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	894920	31280
Graceland, Elvis Presley Boulevard, Memphis, TN	Carlsbad Caverns National Park, Carlsbad, NM	1506831	50275
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Grand Canyon National Park, Arizona	2753336	89594
Hanford Site, Benton County, WA	Grand Canyon National Park, Arizona	1869119	63231
Lost World Caverns, Lewisburg, WV	Wright Brothers National Memorial Visitor Center, Manteo, NC	610955	21810
The Breakers, Ochre Point Avenue, Newport, RI	Fort Sumter National Monument, Sullivan's Island, SC	1508843	52029
Maryland State House, 100 State Cir, Annapolis, MD 21401	Ashfall Fossil Bed, Royal, NE	2143908	72572
Lost World Caverns, Lewisburg, WV	Bryce Canyon National Park, Hwy 63, Bryce, UT	3223428	106523
USS Alabama, Battleship Parkway, Mobile, AL	Liberty Bell, 6th Street, Philadelphia, PA	1772226	59027
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Ashfall Fossil Bed, Royal, NE	1033878	37467
Fort Sumter National Monument, Sullivan's Island, SC	Glacier National Park, West Glacier, MT	3994508	133535
USS Constitution, Boston, MA	Fort Snelling, Tower Avenue, Saint Paul, MN	2238364	75283
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1178198	38793
New Castle Historic District, Delaware	Ashfall Fossil Bed, Royal, NE	2224664	75393
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Glacier National Park, West Glacier, MT	834174	32006
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Ashfall Fossil Bed, Royal, NE	2412404	81555
USS Alabama, Battleship Parkway, Mobile, AL	Acadia National Park, Maine	2687018	90911
San Andreas Fault, San Benito County, CA	Taliesin, County Road C, Spring Green, Wisconsin	3250907	108085
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1769369	59073
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Grand Canyon National Park, Arizona	3298046	108807
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	USS Constitution, Boston, MA	3112595	106848
Toltec Mounds, Scott, AR	Yellowstone National Park, WY 82190	2506570	83585
Congress Hall, Congress Place, Cape May, NJ 08204	Gateway Arch, Washington Avenue, St Louis, MO	1572175	53264
Maryland State House, 100 State Cir, Annapolis, MD 21401	San Andreas Fault, San Benito County, CA	4404366	147661
San Andreas Fault, San Benito County, CA	Statue of Liberty, Liberty Island, NYC, NY	4610995	152846
Pikes Peak, Colorado	Yellowstone National Park, WY 82190	1101912	41514
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Mount Vernon, Fairfax County, Virginia	2674104	92164
Statue of Liberty, Liberty Island, NYC, NY	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1470147	48920
San Andreas Fault, San Benito County, CA	Craters of the Moon National Monument & Preserve, Arco, ID	1474552	57927
The Alamo, Alamo Plaza, San Antonio, TX	Grand Canyon National Park, Arizona	1807441	60060
Wright Brothers National Memorial Visitor Center, Manteo, NC	The Alamo, Alamo Plaza, San Antonio, TX	2565059	83191
Columbia River Gorge National Scenic Area, Oregon	Ashfall Fossil Bed, Royal, NE	2409707	81723
Bryce Canyon National Park, Hwy 63, Bryce, UT	Glacier National Park, West Glacier, MT	1478185	49971
The Alamo, Alamo Plaza, San Antonio, TX	French Quarter, New Orleans, LA	873251	28870
Craters of the Moon National Monument & Preserve, Arco, ID	Pikes Peak, Colorado	1322229	51215
San Andreas Fault, San Benito County, CA	Olympia Entertainment, Woodward Avenue, Detroit, MI	3785779	124861
Graceland, Elvis Presley Boulevard, Memphis, TN	Craters of the Moon National Monument & Preserve, Arco, ID	2789674	98840
Fort Sumter National Monument, Sullivan's Island, SC	Bryce Canyon National Park, Hwy 63, Bryce, UT	3607461	119247
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Bryce Canyon National Park, Hwy 63, Bryce, UT	1791260	61112
Toltec Mounds, Scott, AR	The Breakers, Ochre Point Avenue, Newport, RI	2266265	77022
The Breakers, Ochre Point Avenue, Newport, RI	Craters of the Moon National Monument & Preserve, Arco, ID	4113982	141280
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2564490	86192
Liberty Bell, 6th Street, Philadelphia, PA	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	722044	25905
Carlsbad Caverns National Park, Carlsbad, NM	Gateway Arch, Washington Avenue, St Louis, MO	1679767	56384
Yellowstone National Park, WY 82190	Olympia Entertainment, Woodward Avenue, Detroit, MI	2735681	93412
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1749277	62406
Terrace Hill, Grand Avenue, Des Moines, IA	Wright Brothers National Memorial Visitor Center, Manteo, NC	2058533	69798
Vicksburg National Military Park, Clay Street, Vicksburg, MS	French Quarter, New Orleans, LA	331467	11622
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Craters of the Moon National Monument & Preserve, Arco, ID	4216009	146549
Shelburne Farms, Harbor Road, Shelburne, VT	Ashfall Fossil Bed, Royal, NE	2413324	85459
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Cape Canaveral, FL	2130492	69047
Hoover Dam, NV	New Castle Historic District, Delaware	3981892	131400
Cape Canaveral, FL	Yellowstone National Park, WY 82190	3863739	129484
Cape Canaveral, FL	Grand Canyon National Park, Arizona	3532611	115813
Graceland, Elvis Presley Boulevard, Memphis, TN	Glacier National Park, West Glacier, MT	3155925	107618
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1527663	54044
Hanford Site, Benton County, WA	Lost World Caverns, Lewisburg, WV	4078575	133869
Olympia Entertainment, Woodward Avenue, Detroit, MI	Glacier National Park, West Glacier, MT	2982402	101186
Olympia Entertainment, Woodward Avenue, Detroit, MI	Acadia National Park, Maine	1440471	54684
