waypoint1	waypoint2	distance_m	duration_s
Acadia National Park, Maine	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2301961	77548
Hoover Dam, NV	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	2968190	96554
Hoover Dam, NV	Ashfall Fossil Bed, Royal, NE	2018260	68289
Fort Sumter National Monument, Sullivan's Island, SC	French Quarter, New Orleans, LA	1235034	40329
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Yellowstone National Park, WY 82190	796912	30434
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	3144717	104500
Wright Brothers National Memorial Visitor Center, Manteo, NC	Gateway Arch, Washington Avenue, St Louis, MO	1596830	53697
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	553213	20099
Lost World Caverns, Lewisburg, WV	Craters of the Moon National Monument & Preserve, Arco, ID	3443171	118186
Statue of Liberty, Liberty Island, NYC, NY	Columbia River Gorge National Scenic Area, Oregon	4510297	148529
Terrace Hill, Grand Avenue, Des Moines, IA	Yellowstone National Park, WY 82190	1772179	61845
Hanford Site, Benton County, WA	Taliesin, County Road C, Spring Green, Wisconsin	2884412	95156
The Alamo, Alamo Plaza, San Antonio, TX	Ashfall Fossil Bed, Royal, NE	1577931	53794
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Statue of Liberty, Liberty Island, NYC, NY	1991044	66017
Ashfall Fossil Bed, Royal, NE	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	957358	33717
San Andreas Fault, San Benito County, CA	The Alamo, Alamo Plaza, San Antonio, TX	2406500	78621
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Wright Brothers National Memorial Visitor Center, Manteo, NC	2046695	68886
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Acadia National Park, Maine	374619	16559
Lost World Caverns, Lewisburg, WV	Olympia Entertainment, Woodward Avenue, Detroit, MI	783099	28337
Toltec Mounds, Scott, AR	Mount Vernon, Fairfax County, Virginia	1620911	54087
Cape Canaveral, FL	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1787585	57739
Hanford Site, Benton County, WA	Craters of the Moon National Monument & Preserve, Arco, ID	771373	30787
Ashfall Fossil Bed, Royal, NE	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1347960	46273
Shelburne Farms, Harbor Road, Shelburne, VT	Olympia Entertainment, Woodward Avenue, Detroit, MI	1083225	37394
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Statue of Liberty, Liberty Island, NYC, NY	2804518	96464
Lost World Caverns, Lewisburg, WV	Glacier National Park, West Glacier, MT	3501995	118362
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Craters of the Moon National Monument & Preserve, Arco, ID	2896320	101316
Hoover Dam, NV	Shelburne Farms, Harbor Road, Shelburne, VT	4277948	143778
Maryland State House, 100 State Cir, Annapolis, MD 21401	Taliesin, County Road C, Spring Green, Wisconsin	1462076	50361
Liberty Bell, 6th Street, Philadelphia, PA	Craters of the Moon National Monument & Preserve, Arco, ID	3776104	128808
Lost World Caverns, Lewisburg, WV	Fort Snelling, Tower Avenue, Saint Paul, MN	1628669	55135
Terrace Hill, Grand Avenue, Des Moines, IA	Statue of Liberty, Liberty Island, NYC, NY	1791791	59928
Hanford Site, Benton County, WA	Ashfall Fossil Bed, Royal, NE	2166896	77432
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	White House, Pennsylvania Avenue Northwest, Washington, DC	809633	28573
Taliesin, County Road C, Spring Green, Wisconsin	Columbia River Gorge National Scenic Area, Oregon	3032619	100531
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Statue of Liberty, Liberty Island, NYC, NY	190437	7617
Toltec Mounds, Scott, AR	French Quarter, New Orleans, LA	669649	24733
USS Constitution, Boston, MA	Acadia National Park, Maine	446949	16564
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Columbia River Gorge National Scenic Area, Oregon	3574048	118837
San Andreas Fault, San Benito County, CA	Ashfall Fossil Bed, Royal, NE	2513878	86378
